"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
"1",2402,36.4,4,"B","A"
"2",2402,66.3,6,"E","A"
"3",2402,27.3,5,"C","A"
"4",2402,54.6,4,"E","A"
"5",2402,34.8,3,"C","A"
"6",2402,44.2,1,"C","E"
"7",2402,34.1,5,"D","A"
"8",2402,38.9,5,"E","D"
"9",2402,47.6,4,"B","A"
"10",2402,41.4,4,"C","A"
"11",2402,58.3,6,"E","C"
"12",2402,41.1,4,"C","A"
"13",2402,42.5,5,"B","A"
"14",2402,61.2,4,"C","A"
"15",2402,35,5,"C","A"
"16",2402,52.9,6,"E","A"
"17",2402,24.2,5,"B","A"
"18",2402,40.3,6,"C","A"
"19",2402,39.8,8,"D","A"
"20",2402,47.3,5,"B","A"
"21",2402,59.9,6,"E","A"
"22",2402,41,4,"B","E"
"23",2402,53.2,5,"C","C"
"24",2402,65.1,5,"C","E"
"25",2402,38.7,5,"D","A"
"26",2402,30.7,4,"A","A"
"27",2402,58,6,"E","A"
"28",2402,54.5,4,"B","A"
"29",2402,33.8,6,"D","E"
"30",2402,62.7,4,"D","A"
"31",2402,44.6,6,"C","A"
"32",2402,42.7,6,"E","A"
"33",2402,45.6,5,"B","A"
"34",2402,37.5,6,"B","E"
"35",2402,55.7,6,"D","A"
"36",2402,48.4,7,"A","D"
"37",2402,31.5,5,"C","B"
"38",2402,31.1,1,"C","B"
"39",2402,70.7,1,"B","E"
"40",2402,32.1,5,"E","B"
"41",2402,55.9,4,"B","E"
"42",2402,41.9,6,"C","A"
"43",2402,36.1,4,"C","A"
"44",2402,40.3,3,"C","C"
"45",2402,34.9,5,"E","A"
"46",2402,31.8,6,"B","C"
"47",2402,46.3,2,"B","E"
"48",2402,27.3,2,"A","C"
"49",2402,64.1,4,"E","E"
"50",2402,54.3,4,"C","A"
"51",2402,35.2,5,"D","A"
"52",2402,48.2,3,"B","E"
"53",2402,42.5,5,"E","B"
"54",2402,38.7,6,"D","C"
"55",2402,43.8,6,"B","A"
"56",2402,38,5,"C","A"
"57",2402,53.6,6,"B","E"
"58",2402,61.1,5,"C","E"
"59",2402,40,3,"E","D"
"60",2402,52.3,4,"B","A"
"61",2402,32.2,3,"C","C"
"62",2402,38.8,5,"C","A"
"63",2402,37.9,4,"C","E"
"64",2402,53.8,6,"C","E"
"65",2402,37.4,5,"C","B"
"66",2402,36.6,5,"C","A"
"67",2402,24.9,5,"C","E"
"68",2402,50.4,1,"B","E"
"69",2402,21.9,3,"C","A"
"70",2402,37.9,3,"D","D"
"71",2402,36.2,5,"B","A"
"72",2402,42.1,5,"C","E"
"73",2402,36.2,5,"E","E"
"74",3002,54.9,5,"C","E"
"75",3002,36.6,6,"B","A"
"76",3002,46.5,6,"C","E"
"77",3002,45.7,5,"A","E"
"78",3002,27.8,4,"E","A"
"79",3002,47.1,3,"B","C"
"80",3002,51,5,"B","C"
"81",3002,51.2,6,"C","B"
"82",3002,26.2,3,"E","A"
"83",3002,48.3,4,"B","D"
"84",3002,61.4,5,"C","D"
"85",3002,30.9,5,"D","A"
"86",3002,27.2,7,"C","B"
"87",3002,57.9,2,"C","C"
"88",3002,37.6,7,"E","E"
"89",3002,32.4,6,"B","E"
"90",3002,44,6,"C","A"
"91",3002,34.1,4,"E","B"
"92",3002,38.7,6,"D","A"
"93",3002,36.8,5,"C","A"
"94",3002,47.3,5,"C","B"
"95",3002,43.4,6,"C","D"
"96",3002,36.8,4,"D","B"
"97",3002,59.7,5,"D","C"
"98",3002,71.5,6,"B","E"
"99",3002,51.7,6,"C","A"
"100",3002,50.3,2,"B","C"
"101",3002,65.1,1,"E","A"
"102",3002,58.6,4,"C","A"
"103",3002,37.8,5,"C","A"
"104",3002,39.4,4,"C","A"
"105",3002,61.1,6,"C","A"
"106",3002,66.3,4,"C","A"
"107",3002,51.4,4,"E","E"
"108",3002,66.5,4,"C","A"
"109",3002,61.5,6,"B","E"
"110",3002,48,3,"B","A"
"111",3002,50.7,6,"C","A"
"112",3002,35.7,6,"C","B"
"113",3002,35.3,3,"C","C"
"114",3002,26.4,5,"E","A"
"115",3002,20.8,6,"E","A"
"116",3002,52.2,5,"E","D"
"117",2001,56,6,"D","A"
"118",2001,52,4,"D","A"
"119",2001,53,3,"C","C"
"120",2001,53,5,"C","D"
"121",2001,58.7,5,"C","A"
"122",2001,65,5,"B","E"
"123",2001,32.5,5,"D","A"
"124",2001,49.5,8,"C","A"
"125",2001,65.8,3,"A","A"
"126",2001,38.7,5,"C","A"
"127",2001,44.8,6,"D","D"
"128",2001,67,5,"D","C"
"129",2001,54.9,3,"C","B"
"130",2001,65.2,6,"D","A"
"131",2001,42.6,5,"D","A"
"132",2001,56.2,4,"D","A"
"133",2001,58.5,6,"B","A"
"134",2001,46.2,6,"C","C"
"135",2001,58.5,5,"B","A"
"136",2001,36.2,6,"B","E"
"137",2001,50.2,5,"B","E"
"138",2001,74.5,6,"C","E"
"139",2001,47,6,"C","A"
"140",2001,48.3,4,"C","E"
"141",2001,69.6,5,"D","E"
"142",2001,59.9,4,"C","A"
"143",2001,58.4,5,"C","E"
"144",2001,46.8,4,"C","A"
"145",2001,29.3,6,"B","A"
"146",2001,46,3,"C","C"
"147",2001,35.6,5,"D","E"
"148",2001,66.8,6,"D","A"
"149",2001,66,4,"E","A"
"150",2001,51.4,3,"C","A"
"151",2001,65,6,"C","A"
"152",2001,65.7,3,"D","E"
"153",2001,58.5,6,"A","E"
"154",2001,48.3,6,"C","A"
"155",2001,45,5,"B","E"
"156",2001,44.9,2,"C","A"
"157",2001,45.3,5,"C","A"
"158",2001,43.9,6,"C","A"
"159",2001,30.6,5,"C","C"
"160",2001,62.6,6,"D","A"
"161",2001,46.3,6,"D","A"
"162",2001,52.1,5,"B","D"
"163",2001,46.5,4,"B","E"
"164",2001,59.8,6,"C","A"
"165",2001,49.5,7,"B","A"
"166",2001,23.4,5,"C","E"
"167",2001,54,2,"B","A"
"168",2001,29.5,4,"B","A"
"169",2001,59.7,4,"B","A"
"170",2001,48.2,5,"B","E"
"171",2001,54.8,4,"C","A"
"172",2001,29.5,3,"C","E"
"173",2001,50.2,6,"C","C"
"174",2001,57.5,4,"C","A"
"175",2001,70,4,"D","C"
"176",2001,48.9,3,"C","E"
"177",2001,65.7,3,"E","D"
"178",2001,35.2,5,"C","B"
"179",2001,44.3,5,"A","B"
"180",2001,69.6,6,"C","C"
"181",2001,39.9,2,"D","A"
"182",2001,33.4,5,"B","E"
"183",2001,40,6,"C","A"
"184",2001,45.6,3,"E","C"
"185",2001,30.4,5,"C","A"
"186",2001,40.9,6,"C","A"
"187",2001,49.6,2,"C","D"
"188",2001,46.7,6,"B","A"
"189",2001,32.6,3,"C","D"
"190",2001,22.6,4,"B","E"
"191",2001,48.9,5,"C","A"
"192",2001,62.6,5,"E","A"
"193",2001,53.3,4,"C","A"
"194",2001,39.8,4,"B","A"
"195",2001,34,6,"D","E"
"196",2001,53,5,"C","A"
"197",2001,47.3,6,"B","C"
"198",2001,58.4,4,"B","A"
"199",2001,59.2,5,"B","D"
"200",2001,37,6,"B","A"
"201",2001,61,6,"C","A"
"202",2001,41.9,5,"D","A"
"203",2001,58.6,4,"C","A"
"204",2001,40.3,6,"B","E"
"205",5402,39.6,6,"B","E"
"206",5402,58.9,2,"C","A"
"207",5402,38.2,NA,NA,NA
"208",5402,55.2,3,"D","B"
"209",5402,55,4,"E","C"
"210",5402,71.3,4,"E","B"
"211",5402,57.7,6,"E","A"
"212",5402,73.4,6,"B","A"
"213",5402,59.6,8,"C","A"
"214",5402,52.4,4,"E","B"
"215",5402,70,1,"C","A"
"216",5402,57.5,2,"B","A"
"217",5402,46.8,4,"B","A"
"218",5402,44.5,4,"C","A"
"219",5402,65.7,3,"C","D"
"220",5402,65,6,"C","A"
"221",5402,57.8,4,"E","A"
"222",5402,52.4,2,"C","A"
"223",5402,51.6,6,"D","A"
"224",5806,60.7,1,"E","A"
"225",5806,63.5,7,"E","B"
"226",5806,45.5,2,"E","A"
"227",5806,46,4,"B","A"
"228",5806,44.3,7,"C","A"
"229",5806,21.4,2,"B","A"
"230",5806,59.2,7,"B","A"
"231",5806,38,3,"C","A"
"232",5806,39.4,4,"D","A"
"233",5806,37.4,3,"E","A"
"234",5806,67,3,"B","A"
"235",5806,49.3,4,"D","C"
"236",5806,36.8,5,"C","A"
"237",5806,49.5,1,"B","A"
"238",5806,46.1,4,"A","A"
"239",5806,40.8,2,"B","A"
"240",5806,59.6,2,"A","A"
"241",5806,42.9,4,"D","A"
"242",5806,40,4,"B","A"
"243",5806,57.2,6,"B","A"
"244",5806,40.2,4,"A","A"
"245",5806,43.6,1,"B","A"
"246",5806,46.3,5,"A","A"
"247",5806,57.2,2,"A","A"
"248",5806,55.2,1,"B","A"
"249",5806,61.8,2,"B","A"
"250",5806,59.5,8,"D","D"
"251",5806,41.9,1,"C","A"
"252",5806,33.1,7,"A","A"
"253",5806,37.3,1,"C","A"
"254",5806,47.3,6,"C","A"
"255",5806,34.3,8,"B","A"
"256",5806,42.9,1,"B","A"
"257",5806,28.8,4,"B","A"
"258",5806,53.4,4,"E","A"
"259",5806,41.8,1,"E","A"
"260",5806,58.4,1,"B","A"
"261",5806,38.6,1,"B","A"
"262",5806,37.8,8,"B","A"
"263",5806,71.4,1,"B","D"
"264",5806,26.9,1,"A","A"
"265",5806,68.8,3,"B","A"
"266",5806,48.3,1,"E","A"
"267",5806,56.6,7,"A","A"
"268",5806,25.3,3,"A","A"
"269",5806,53.2,5,"E","A"
"270",5806,56.1,1,"B","D"
"271",5806,42,8,"A","A"
"272",5806,52.4,3,"A","D"
"273",5806,68.1,1,"A","A"
"274",5806,44.3,3,"B","A"
"275",5806,69.9,3,"E","A"
"276",5806,34.1,2,"D","A"
"277",5806,36.5,1,"C","A"
"278",5806,38.5,1,"D","A"
"279",5806,44.9,5,"C","D"
"280",5806,42.9,3,"A","A"
"281",5806,42,4,"C","A"
"282",5806,44.1,1,"C","A"
"283",5806,30.6,4,"D","A"
"284",5806,65.7,3,"A","A"
"285",5806,59.7,1,"C","A"
"286",5806,52.5,2,"C","A"
"287",5806,39.8,5,"B","A"
"288",5806,34.3,2,"E","C"
"289",5806,41.9,4,"B","A"
