"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
1,"Historia (Bacharelado)",36.4,"4","2","Nao Estou Trabalhando"
2,"Historia (Bacharelado)",66.3,"6","9","Nao Estou Trabalhando"
3,"Historia (Bacharelado)",27.3,"5","5","Nao Estou Trabalhando"
4,"Historia (Bacharelado)",54.6,"4","9","Nao Estou Trabalhando"
5,"Historia (Bacharelado)",34.8,"3","5","Nao Estou Trabalhando"
6,"Historia (Bacharelado)",44.2,"1","5","Trabalho 40 horas semanais ou mais"
7,"Historia (Bacharelado)",34.1,"5","7","Nao Estou Trabalhando"
8,"Historia (Bacharelado)",38.9,"5","9","Trabalho de 21 a 31 horas semanais"
9,"Historia (Bacharelado)",47.6,"4","2","Nao Estou Trabalhando"
10,"Historia (Bacharelado)",41.4,"4","5","Nao Estou Trabalhando"
11,"Historia (Bacharelado)",58.3,"6","9","Trabalho ate 20 horas semanais"
12,"Historia (Bacharelado)",41.1,"4","5","Nao Estou Trabalhando"
13,"Historia (Bacharelado)",42.5,"5","2","Nao Estou Trabalhando"
14,"Historia (Bacharelado)",61.2,"4","5","Nao Estou Trabalhando"
15,"Historia (Bacharelado)",35,"5","5","Nao Estou Trabalhando"
16,"Historia (Bacharelado)",52.9,"6","9","Nao Estou Trabalhando"
17,"Historia (Bacharelado)",24.2,"5","2","Nao Estou Trabalhando"
18,"Historia (Bacharelado)",40.3,"6","5","Nao Estou Trabalhando"
19,"Historia (Bacharelado)",39.8,"0","7","Nao Estou Trabalhando"
20,"Historia (Bacharelado)",47.3,"5","2","Nao Estou Trabalhando"
21,"Historia (Bacharelado)",59.9,"6","9","Nao Estou Trabalhando"
22,"Historia (Bacharelado)",41,"4","2","Trabalho 40 horas semanais ou mais"
23,"Historia (Bacharelado)",53.2,"5","5","Trabalho ate 20 horas semanais"
24,"Historia (Bacharelado)",65.1,"5","5","Trabalho 40 horas semanais ou mais"
25,"Historia (Bacharelado)",38.7,"5","7","Nao Estou Trabalhando"
26,"Historia (Bacharelado)",30.7,"4","0","Nao Estou Trabalhando"
27,"Historia (Bacharelado)",58,"6","9","Nao Estou Trabalhando"
28,"Historia (Bacharelado)",54.5,"4","2","Nao Estou Trabalhando"
29,"Historia (Bacharelado)",33.8,"6","7","Trabalho 40 horas semanais ou mais"
30,"Historia (Bacharelado)",62.7,"4","7","Nao Estou Trabalhando"
31,"Historia (Bacharelado)",44.6,"6","5","Nao Estou Trabalhando"
32,"Historia (Bacharelado)",42.7,"6","9","Nao Estou Trabalhando"
33,"Historia (Bacharelado)",45.6,"5","2","Nao Estou Trabalhando"
34,"Historia (Bacharelado)",37.5,"6","2","Trabalho 40 horas semanais ou mais"
35,"Historia (Bacharelado)",55.7,"6","7","Nao Estou Trabalhando"
36,"Historia (Bacharelado)",48.4,"0","0","Trabalho de 21 a 31 horas semanais"
37,"Historia (Bacharelado)",31.5,"5","5","Trabalho Eventualmente"
38,"Historia (Bacharelado)",31.1,"1","5","Trabalho Eventualmente"
39,"Historia (Bacharelado)",70.7,"1","2","Trabalho 40 horas semanais ou mais"
40,"Historia (Bacharelado)",32.1,"5","9","Trabalho Eventualmente"
41,"Historia (Bacharelado)",55.9,"4","2","Trabalho 40 horas semanais ou mais"
42,"Historia (Bacharelado)",41.9,"6","5","Nao Estou Trabalhando"
43,"Historia (Bacharelado)",36.1,"4","5","Nao Estou Trabalhando"
44,"Historia (Bacharelado)",40.3,"3","5","Trabalho ate 20 horas semanais"
45,"Historia (Bacharelado)",34.9,"5","9","Nao Estou Trabalhando"
46,"Historia (Bacharelado)",31.8,"6","2","Trabalho ate 20 horas semanais"
47,"Historia (Bacharelado)",46.3,"2","2","Trabalho 40 horas semanais ou mais"
48,"Historia (Bacharelado)",27.3,"2","0","Trabalho ate 20 horas semanais"
49,"Historia (Bacharelado)",64.1,"4","9","Trabalho 40 horas semanais ou mais"
50,"Historia (Bacharelado)",54.3,"4","5","Nao Estou Trabalhando"
51,"Historia (Bacharelado)",35.2,"5","7","Nao Estou Trabalhando"
52,"Historia (Bacharelado)",48.2,"3","2","Trabalho 40 horas semanais ou mais"
53,"Historia (Bacharelado)",42.5,"5","9","Trabalho Eventualmente"
54,"Historia (Bacharelado)",38.7,"6","7","Trabalho ate 20 horas semanais"
55,"Historia (Bacharelado)",43.8,"6","2","Nao Estou Trabalhando"
56,"Historia (Bacharelado)",38,"5","5","Nao Estou Trabalhando"
57,"Historia (Bacharelado)",53.6,"6","2","Trabalho 40 horas semanais ou mais"
58,"Historia (Bacharelado)",61.1,"5","5","Trabalho 40 horas semanais ou mais"
59,"Historia (Bacharelado)",40,"3","9","Trabalho de 21 a 31 horas semanais"
60,"Historia (Bacharelado)",52.3,"4","2","Nao Estou Trabalhando"
61,"Historia (Bacharelado)",32.2,"3","5","Trabalho ate 20 horas semanais"
62,"Historia (Bacharelado)",38.8,"5","5","Nao Estou Trabalhando"
63,"Historia (Bacharelado)",37.9,"4","5","Trabalho 40 horas semanais ou mais"
64,"Historia (Bacharelado)",53.8,"6","5","Trabalho 40 horas semanais ou mais"
65,"Historia (Bacharelado)",37.4,"5","5","Trabalho Eventualmente"
66,"Historia (Bacharelado)",36.6,"5","5","Nao Estou Trabalhando"
67,"Historia (Bacharelado)",24.9,"5","5","Trabalho 40 horas semanais ou mais"
68,"Historia (Bacharelado)",50.4,"1","2","Trabalho 40 horas semanais ou mais"
69,"Historia (Bacharelado)",21.9,"3","5","Nao Estou Trabalhando"
70,"Historia (Bacharelado)",37.9,"3","7","Trabalho de 21 a 31 horas semanais"
71,"Historia (Bacharelado)",36.2,"5","2","Nao Estou Trabalhando"
72,"Historia (Bacharelado)",42.1,"5","5","Trabalho 40 horas semanais ou mais"
73,"Historia (Bacharelado)",36.2,"5","9","Trabalho 40 horas semanais ou mais"
74,"Geografia (Licenciatura)",54.9,"5","5","Trabalho 40 horas semanais ou mais"
75,"Geografia (Licenciatura)",36.6,"6","2","Nao Estou Trabalhando"
76,"Geografia (Licenciatura)",46.5,"6","5","Trabalho 40 horas semanais ou mais"
77,"Geografia (Licenciatura)",45.7,"5","0","Trabalho 40 horas semanais ou mais"
78,"Geografia (Licenciatura)",27.8,"4","9","Nao Estou Trabalhando"
79,"Geografia (Licenciatura)",47.1,"3","2","Trabalho ate 20 horas semanais"
80,"Geografia (Licenciatura)",51,"5","2","Trabalho ate 20 horas semanais"
81,"Geografia (Licenciatura)",51.2,"6","5","Trabalho Eventualmente"
82,"Geografia (Licenciatura)",26.2,"3","9","Nao Estou Trabalhando"
83,"Geografia (Licenciatura)",48.3,"4","2","Trabalho de 21 a 31 horas semanais"
84,"Geografia (Licenciatura)",61.4,"5","5","Trabalho de 21 a 31 horas semanais"
85,"Geografia (Licenciatura)",30.9,"5","7","Nao Estou Trabalhando"
86,"Geografia (Licenciatura)",27.2,"0","5","Trabalho Eventualmente"
87,"Geografia (Licenciatura)",57.9,"2","5","Trabalho ate 20 horas semanais"
88,"Geografia (Licenciatura)",37.6,"0","9","Trabalho 40 horas semanais ou mais"
89,"Geografia (Licenciatura)",32.4,"6","2","Trabalho 40 horas semanais ou mais"
90,"Geografia (Licenciatura)",44,"6","5","Nao Estou Trabalhando"
91,"Geografia (Licenciatura)",34.1,"4","9","Trabalho Eventualmente"
92,"Geografia (Licenciatura)",38.7,"6","7","Nao Estou Trabalhando"
93,"Geografia (Licenciatura)",36.8,"5","5","Nao Estou Trabalhando"
94,"Geografia (Licenciatura)",47.3,"5","5","Trabalho Eventualmente"
95,"Geografia (Licenciatura)",43.4,"6","5","Trabalho de 21 a 31 horas semanais"
96,"Geografia (Licenciatura)",36.8,"4","7","Trabalho Eventualmente"
97,"Geografia (Licenciatura)",59.7,"5","7","Trabalho ate 20 horas semanais"
98,"Geografia (Licenciatura)",71.5,"6","2","Trabalho 40 horas semanais ou mais"
99,"Geografia (Licenciatura)",51.7,"6","5","Nao Estou Trabalhando"
100,"Geografia (Licenciatura)",50.3,"2","2","Trabalho ate 20 horas semanais"
101,"Geografia (Licenciatura)",65.1,"1","9","Nao Estou Trabalhando"
102,"Geografia (Licenciatura)",58.6,"4","5","Nao Estou Trabalhando"
103,"Geografia (Licenciatura)",37.8,"5","5","Nao Estou Trabalhando"
104,"Geografia (Licenciatura)",39.4,"4","5","Nao Estou Trabalhando"
105,"Geografia (Licenciatura)",61.1,"6","5","Nao Estou Trabalhando"
106,"Geografia (Licenciatura)",66.3,"4","5","Nao Estou Trabalhando"
107,"Geografia (Licenciatura)",51.4,"4","9","Trabalho 40 horas semanais ou mais"
108,"Geografia (Licenciatura)",66.5,"4","5","Nao Estou Trabalhando"
109,"Geografia (Licenciatura)",61.5,"6","2","Trabalho 40 horas semanais ou mais"
110,"Geografia (Licenciatura)",48,"3","2","Nao Estou Trabalhando"
111,"Geografia (Licenciatura)",50.7,"6","5","Nao Estou Trabalhando"
112,"Geografia (Licenciatura)",35.7,"6","5","Trabalho Eventualmente"
113,"Geografia (Licenciatura)",35.3,"3","5","Trabalho ate 20 horas semanais"
114,"Geografia (Licenciatura)",26.4,"5","9","Nao Estou Trabalhando"
115,"Geografia (Licenciatura)",20.8,"6","9","Nao Estou Trabalhando"
116,"Geografia (Licenciatura)",52.2,"5","9","Trabalho de 21 a 31 horas semanais"
117,"Pedagogia (Licenciatura)",56,"6","7","Nao Estou Trabalhando"
118,"Pedagogia (Licenciatura)",52,"4","7","Nao Estou Trabalhando"
119,"Pedagogia (Licenciatura)",53,"3","5","Trabalho ate 20 horas semanais"
120,"Pedagogia (Licenciatura)",53,"5","5","Trabalho de 21 a 31 horas semanais"
121,"Pedagogia (Licenciatura)",58.7,"5","5","Nao Estou Trabalhando"
122,"Pedagogia (Licenciatura)",65,"5","2","Trabalho 40 horas semanais ou mais"
123,"Pedagogia (Licenciatura)",32.5,"5","7","Nao Estou Trabalhando"
124,"Pedagogia (Licenciatura)",49.5,"0","5","Nao Estou Trabalhando"
125,"Pedagogia (Licenciatura)",65.8,"3","0","Nao Estou Trabalhando"
126,"Pedagogia (Licenciatura)",38.7,"5","5","Nao Estou Trabalhando"
127,"Pedagogia (Licenciatura)",44.8,"6","7","Trabalho de 21 a 31 horas semanais"
