"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
6,"Historia (Bacharelado)",44.2,"1","De tres a cinco","Trabalho 40 horas semanais ou mais"
8,"Historia (Bacharelado)",38.9,"5","Mais de oito","Trabalho de 21 a 31 horas semanais"
11,"Historia (Bacharelado)",58.3,"6","Mais de oito","Trabalho ate 20 horas semanais"
22,"Historia (Bacharelado)",41,"4","Um ou Dois","Trabalho 40 horas semanais ou mais"
23,"Historia (Bacharelado)",53.2,"5","De tres a cinco","Trabalho ate 20 horas semanais"
24,"Historia (Bacharelado)",65.1,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
29,"Historia (Bacharelado)",33.8,"6","De seis a oito","Trabalho 40 horas semanais ou mais"
34,"Historia (Bacharelado)",37.5,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
36,"Historia (Bacharelado)",48.4,"0","Nenhum","Trabalho de 21 a 31 horas semanais"
37,"Historia (Bacharelado)",31.5,"5","De tres a cinco","Trabalho Eventualmente"
38,"Historia (Bacharelado)",31.1,"1","De tres a cinco","Trabalho Eventualmente"
39,"Historia (Bacharelado)",70.7,"1","Um ou Dois","Trabalho 40 horas semanais ou mais"
40,"Historia (Bacharelado)",32.1,"5","Mais de oito","Trabalho Eventualmente"
41,"Historia (Bacharelado)",55.9,"4","Um ou Dois","Trabalho 40 horas semanais ou mais"
44,"Historia (Bacharelado)",40.3,"3","De tres a cinco","Trabalho ate 20 horas semanais"
46,"Historia (Bacharelado)",31.8,"6","Um ou Dois","Trabalho ate 20 horas semanais"
47,"Historia (Bacharelado)",46.3,"2","Um ou Dois","Trabalho 40 horas semanais ou mais"
48,"Historia (Bacharelado)",27.3,"2","Nenhum","Trabalho ate 20 horas semanais"
49,"Historia (Bacharelado)",64.1,"4","Mais de oito","Trabalho 40 horas semanais ou mais"
52,"Historia (Bacharelado)",48.2,"3","Um ou Dois","Trabalho 40 horas semanais ou mais"
53,"Historia (Bacharelado)",42.5,"5","Mais de oito","Trabalho Eventualmente"
54,"Historia (Bacharelado)",38.7,"6","De seis a oito","Trabalho ate 20 horas semanais"
57,"Historia (Bacharelado)",53.6,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
58,"Historia (Bacharelado)",61.1,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
59,"Historia (Bacharelado)",40,"3","Mais de oito","Trabalho de 21 a 31 horas semanais"
61,"Historia (Bacharelado)",32.2,"3","De tres a cinco","Trabalho ate 20 horas semanais"
63,"Historia (Bacharelado)",37.9,"4","De tres a cinco","Trabalho 40 horas semanais ou mais"
64,"Historia (Bacharelado)",53.8,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
65,"Historia (Bacharelado)",37.4,"5","De tres a cinco","Trabalho Eventualmente"
67,"Historia (Bacharelado)",24.9,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
68,"Historia (Bacharelado)",50.4,"1","Um ou Dois","Trabalho 40 horas semanais ou mais"
70,"Historia (Bacharelado)",37.9,"3","De seis a oito","Trabalho de 21 a 31 horas semanais"
72,"Historia (Bacharelado)",42.1,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
73,"Historia (Bacharelado)",36.2,"5","Mais de oito","Trabalho 40 horas semanais ou mais"
74,"Geografia (Licenciatura)",54.9,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
76,"Geografia (Licenciatura)",46.5,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
77,"Geografia (Licenciatura)",45.7,"5","Nenhum","Trabalho 40 horas semanais ou mais"
79,"Geografia (Licenciatura)",47.1,"3","Um ou Dois","Trabalho ate 20 horas semanais"
80,"Geografia (Licenciatura)",51,"5","Um ou Dois","Trabalho ate 20 horas semanais"
81,"Geografia (Licenciatura)",51.2,"6","De tres a cinco","Trabalho Eventualmente"
83,"Geografia (Licenciatura)",48.3,"4","Um ou Dois","Trabalho de 21 a 31 horas semanais"
84,"Geografia (Licenciatura)",61.4,"5","De tres a cinco","Trabalho de 21 a 31 horas semanais"
86,"Geografia (Licenciatura)",27.2,"0","De tres a cinco","Trabalho Eventualmente"
87,"Geografia (Licenciatura)",57.9,"2","De tres a cinco","Trabalho ate 20 horas semanais"
